,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,280.0,-110.0,Captured Image 1213163108.fits,958.8221506884803,533.0,37.0
1,-4,280.0,-105.0,Captured Image 1213162849.fits,1865.684472637575,532.0,45.0
2,-4,280.0,-100.0,Captured Image 1213162628.fits,3037.231827364712,531.0,48.0
3,-4,280.0,-95.0,Captured Image 1213162403.fits,3172.3998119663474,530.0,47.0
4,-4,280.0,-90.0,Captured Image 1213162042.fits,3053.74692652285,530.0,49.0
5,-4,280.0,-90.0,Captured Image 1213165506.fits,3071.3079439222533,530.0,49.0
6,-4,280.0,-85.0,Captured Image 1213164031.fits,2510.796243650252,528.0,41.0
7,-4,280.0,-80.0,Captured Image 1213164355.fits,1918.077870212338,528.0,31.0
8,-4,280.0,-75.0,Captured Image 1213164649.fits,1189.47305868312,526.0,15.0
9,-4,280.0,-65.0,Captured Image 1213165135.fits,39174.49381698834,530.0,113.0
10,-4,285.2,-115.0,Captured Image 1213163527.fits,357.57713036474945,534.0,35.0
11,-4,285.2,-110.0,Captured Image 1213163151.fits,937.5918929998538,533.0,46.0
12,-4,285.2,-105.0,Captured Image 1213162932.fits,1720.8080249263826,532.0,54.0
13,-4,285.2,-100.0,Captured Image 1213162723.fits,2258.2329372875656,531.0,59.0
14,-4,285.2,-95.0,Captured Image 1213162445.fits,2558.2193926212985,530.0,60.0
15,-4,285.2,-90.0,Captured Image 1213162139.fits,2471.6670129020586,529.0,58.0
16,-4,285.2,-90.0,Captured Image 1213165554.fits,2355.6037498715004,530.0,58.0
17,-4,285.2,-85.0,Captured Image 1213164111.fits,2153.295801922479,528.0,52.0
18,-4,285.2,-80.0,Captured Image 1213164437.fits,1522.0136749528401,527.0,41.0
19,-4,285.2,-75.0,Captured Image 1213164729.fits,1056.2746074583788,526.0,25.0
20,-4,285.2,-70.0,Captured Image 1213165020.fits,390.44448009956363,525.0,0.0
21,-4,288.6,-115.0,Captured Image 1213163753.fits,623.4452837538421,535.0,41.0
22,-4,288.6,-110.0,Captured Image 1213163230.fits,2894.659197029551,533.0,52.0
23,-4,288.6,-105.0,Captured Image 1213163005.fits,5627.8846882929065,532.0,60.0
24,-4,288.6,-100.0,Captured Image 1213162802.fits,8022.63815964182,531.0,77.0
25,-4,288.6,-95.0,Captured Image 1213162532.fits,9229.409438449422,530.0,66.0
26,-4,288.6,-90.0,Captured Image 1213162235.fits,8713.92314245599,531.0,64.0
27,-4,288.6,-90.0,Captured Image 1213165634.fits,11302.462483696137,530.0,64.0
28,-4,288.6,-85.0,Captured Image 1213164221.fits,7653.420138486055,528.0,57.0
29,-4,288.6,-85.0,Captured Image 1213164257.fits,10333.803762834283,529.0,57.0
30,-4,288.6,-80.0,Captured Image 1213164527.fits,6062.6840772180385,527.0,47.0
31,-4,288.6,-80.0,Captured Image 1213164553.fits,7636.334208695549,528.0,47.0
32,-4,288.6,-75.0,Captured Image 1213164822.fits,5438.187942006041,526.0,32.0
33,-4,288.6,-70.0,Captured Image 1213165055.fits,2377.883841795441,526.0,9.0
34,-3,280.0,-115.0,Captured Image 1213163415.fits,457.4765584820674,534.0,150.0
35,-3,280.0,-110.0,Captured Image 1213163108.fits,1132.7279061803483,533.0,159.0
36,-3,280.0,-105.0,Captured Image 1213162849.fits,1209.1433701082544,532.0,164.0
