,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,280.0,-95.0,Captured Image 1213191359.fits,41.62266050067744,537.0,47.0
1,-4,280.0,-90.0,Captured Image 1213190934.fits,39.49518061364902,536.0,45.0
2,-4,280.0,-85.0,Captured Image 1213191446.fits,28.7802869619144,536.0,40.0
3,-4,280.0,-80.0,Captured Image 1213191757.fits,25.900042401071488,536.0,31.0
4,-4,285.2,-95.0,Captured Image 1213191321.fits,131.50199679254342,538.0,58.0
5,-4,285.2,-90.0,Captured Image 1213191037.fits,125.99551190393076,537.0,54.0
6,-4,285.2,-90.0,Captured Image 1213192247.fits,128.20325919162215,537.0,59.0
7,-4,285.2,-85.0,Captured Image 1213191528.fits,107.25518953216724,536.0,53.0
8,-4,285.2,-80.0,Captured Image 1213191722.fits,90.73070502071263,535.0,42.0
9,-4,285.2,-75.0,Captured Image 1213191913.fits,69.32442200237995,534.0,25.0
10,-4,285.2,-70.0,Captured Image 1213192054.fits,28.29225101707528,533.0,51.0
11,-4,288.6,-95.0,Captured Image 1213191225.fits,60.79002979711019,537.0,62.0
12,-4,288.6,-90.0,Captured Image 1213191142.fits,54.537165636053395,537.0,60.0
13,-4,288.6,-90.0,Captured Image 1213192323.fits,62.20046546965784,537.0,65.0
14,-4,288.6,-85.0,Captured Image 1213191607.fits,55.49570388019838,536.0,58.0
15,-4,288.6,-80.0,Captured Image 1213191640.fits,48.33654360624562,535.0,44.0
16,-4,288.6,-75.0,Captured Image 1213191945.fits,47.03911605842911,534.0,31.0
17,-4,288.6,-70.0,Captured Image 1213192020.fits,21.342974552855797,533.0,6.0
18,-3,280.0,-95.0,Captured Image 1213191359.fits,57.458511922646416,537.0,168.0
19,-3,280.0,-90.0,Captured Image 1213190934.fits,128.46321013196751,537.0,167.0
20,-3,280.0,-85.0,Captured Image 1213191446.fits,44.1248945473944,536.0,168.0
21,-3,280.0,-80.0,Captured Image 1213191757.fits,43.4799577256592,536.0,160.0
22,-3,285.2,-95.0,Captured Image 1213191321.fits,134.74976109947931,538.0,178.0
23,-3,285.2,-90.0,Captured Image 1213191037.fits,139.2184497813812,537.0,179.0
24,-3,285.2,-90.0,Captured Image 1213192247.fits,141.7427092951164,537.0,179.0
25,-3,285.2,-85.0,Captured Image 1213191528.fits,132.20972247555352,537.0,175.0
26,-3,285.2,-80.0,Captured Image 1213191722.fits,131.68291005642385,536.0,168.0
27,-3,285.2,-75.0,Captured Image 1213191913.fits,126.99199030507489,535.0,157.0
28,-3,285.2,-70.0,Captured Image 1213192054.fits,107.60788298473867,534.0,143.0
29,-3,288.6,-90.0,Captured Image 1213191142.fits,45.43727606477403,538.0,181.0
30,-3,288.6,-90.0,Captured Image 1213192323.fits,52.16041881506253,538.0,182.0
31,-3,288.6,-85.0,Captured Image 1213191607.fits,34.57552284145471,536.0,179.0
32,-3,288.6,-80.0,Captured Image 1213191640.fits,42.24534503111957,536.0,173.0
33,-3,288.6,-75.0,Captured Image 1213191945.fits,44.0074968350895,534.0,162.0
34,-3,288.6,-70.0,Captured Image 1213192020.fits,40.10994706300919,535.0,148.0
35,-2,280.0,-95.0,Captured Image 1213191359.fits,75.39722911635329,537.0,286.0
36,-2,280.0,-90.0,Captured Image 1213190934.fits,157.37782347354963,536.0,286.0
37,-2,280.0,-75.0,Captured Image 1213191836.fits,64.00508105519533,534.0,274.0
38,-2,280.0,-70.0,Captured Image 1213192133.fits,66.14867627880398,534.0,270.0
39,-2,285.2,-95.0,Captured Image 1213191321.fits,138.43967945996656,537.0,290.0
40,-2,285.2,-90.0,Captured Image 1213191037.fits,161.86783320545248,537.0,294.0
41,-2,285.2,-90.0,Captured Image 1213192247.fits,161.5338382400301,537.0,295.0
42,-2,285.2,-85.0,Captured Image 1213191528.fits,163.80627080862192,536.0,293.0
43,-2,285.2,-80.0,Captured Image 1213191722.fits,191.95631922005114,536.0,289.0
44,-2,285.2,-75.0,Captured Image 1213191913.fits,244.24657751966544,536.0,283.0
45,-2,285.2,-70.0,Captured Image 1213192054.fits,321.1750444780446,535.0,275.0
46,-2,288.6,-95.0,Captured Image 1213191225.fits,123.91364481539783,537.0,293.0
47,-2,288.6,-90.0,Captured Image 1213191142.fits,111.71770779300198,537.0,297.0
48,-2,288.6,-90.0,Captured Image 1213192323.fits,111.93570636437943,537.0,297.0
49,-2,288.6,-85.0,Captured Image 1213191607.fits,74.17621906619121,537.0,296.0
50,-2,288.6,-80.0,Captured Image 1213191640.fits,78.57833445105788,536.0,292.0
51,-2,288.6,-75.0,Captured Image 1213191945.fits,104.30260678574612,536.0,286.0
52,-2,288.6,-70.0,Captured Image 1213192020.fits,159.82602368028395,535.0,278.0
53,-1,280.0,-95.0,Captured Image 1213191359.fits,400.17712658545076,537.0,404.0
54,-1,280.0,-90.0,Captured Image 1213190934.fits,426.5077007236184,536.0,402.0
55,-1,280.0,-85.0,Captured Image 1213191446.fits,465.21442241450944,536.0,400.0
56,-1,280.0,-80.0,Captured Image 1213191757.fits,475.1811035362032,536.0,400.0
57,-1,280.0,-75.0,Captured Image 1213191836.fits,488.02538927080894,536.0,401.0
58,-1,280.0,-70.0,Captured Image 1213192133.fits,573.1065258405797,535.0,396.0
59,-1,285.2,-95.0,Captured Image 1213191321.fits,306.91042622866246,536.0,403.0
60,-1,285.2,-90.0,Captured Image 1213191037.fits,318.40070466865274,537.0,408.0
61,-1,285.2,-90.0,Captured Image 1213192247.fits,309.05677109946197,537.0,408.0
