,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,280.0,-115.0,Captured Image 1215130154.fits,1994.1970181222919,523.0,26.0
1,-4,280.0,-110.0,Captured Image 1215125721.fits,4345.76020847714,523.0,40.0
2,-4,280.0,-105.0,Captured Image 1215125643.fits,5737.082034432029,521.0,43.0
3,-4,280.0,-100.0,Captured Image 1215125313.fits,6959.094381871413,521.0,52.0
4,-4,280.0,-95.0,Captured Image 1215125232.fits,7780.634166109399,521.0,55.0
5,-4,280.0,-90.0,Captured Image 1215124711.fits,6925.511197531369,520.0,50.0
6,-4,280.0,-90.0,Captured Image 1215131605.fits,6414.7882721100505,520.0,52.0
7,-4,280.0,-85.0,Captured Image 1215130234.fits,5907.468127342582,519.0,43.0
8,-4,280.0,-80.0,Captured Image 1215130605.fits,3354.5252377420356,519.0,32.0
9,-4,280.0,-75.0,Captured Image 1215130704.fits,1666.802006924535,518.0,17.0
10,-4,280.0,-65.0,Captured Image 1215131314.fits,2693.512831404407,521.0,116.0
11,-4,285.2,-115.0,Captured Image 1215130111.fits,2253.715674814955,523.0,34.0
12,-4,285.2,-110.0,Captured Image 1215125800.fits,4090.0950735240617,523.0,48.0
13,-4,285.2,-105.0,Captured Image 1215125609.fits,5920.950245828409,522.0,56.0
14,-4,285.2,-100.0,Captured Image 1215125351.fits,7421.808265090816,522.0,62.0
15,-4,285.2,-95.0,Captured Image 1215125152.fits,7842.807057791566,521.0,63.0
16,-4,285.2,-90.0,Captured Image 1215124808.fits,6794.5249508086345,520.0,60.0
17,-4,285.2,-90.0,Captured Image 1215131640.fits,6484.638150780718,520.0,60.0
18,-4,285.2,-85.0,Captured Image 1215130330.fits,6618.670703203953,520.0,54.0
19,-4,285.2,-80.0,Captured Image 1215130528.fits,3114.8320599613357,519.0,44.0
20,-4,285.2,-75.0,Captured Image 1215130820.fits,1390.3451959327922,519.0,28.0
21,-4,288.6,-115.0,Captured Image 1215130007.fits,7414.563892668453,524.0,41.0
22,-4,288.6,-110.0,Captured Image 1215125905.fits,12923.361606420876,523.0,54.0
23,-4,288.6,-105.0,Captured Image 1215125530.fits,19554.939574352422,522.0,62.0
24,-4,288.6,-100.0,Captured Image 1215125435.fits,24073.18488017113,522.0,68.0
25,-4,288.6,-95.0,Captured Image 1215124942.fits,26983.64687097186,521.0,68.0
26,-4,288.6,-90.0,Captured Image 1215124855.fits,21135.578383684126,521.0,67.0
27,-4,288.6,-90.0,Captured Image 1215131525.fits,23188.629301535082,520.0,66.0
28,-4,288.6,-85.0,Captured Image 1215130411.fits,19975.497400879773,520.0,60.0
29,-4,288.6,-80.0,Captured Image 1215130449.fits,12138.82335512486,519.0,49.0
30,-4,288.6,-75.0,Captured Image 1215130906.fits,5522.726902835209,519.0,34.0
31,-4,288.6,-70.0,Captured Image 1215131018.fits,1564.7266937699997,518.0,12.0
32,-3,280.0,-115.0,Captured Image 1215130154.fits,1025.8402888183339,526.0,150.0
33,-3,280.0,-110.0,Captured Image 1215125721.fits,797.2552022708322,526.0,161.0
34,-3,280.0,-105.0,Captured Image 1215125643.fits,850.3103442649996,525.0,169.0
35,-3,280.0,-100.0,Captured Image 1215125313.fits,940.2754243078753,525.0,174.0
36,-3,280.0,-90.0,Captured Image 1215124711.fits,1155.6574275461703,524.0,170.0
37,-3,280.0,-90.0,Captured Image 1215131605.fits,1056.6441722401219,524.0,174.0
38,-3,280.0,-85.0,Captured Image 1215130234.fits,1127.1762010000698,524.0,170.0
39,-3,280.0,-80.0,Captured Image 1215130605.fits,1498.4654983541782,523.0,160.0
40,-3,280.0,-75.0,Captured Image 1215130704.fits,1768.5845742190093,523.0,149.0
41,-3,280.0,-70.0,Captured Image 1215131237.fits,1605.0299360420463,523.0,137.0
42,-3,285.2,-115.0,Captured Image 1215130111.fits,2683.7182880325286,526.0,157.0
43,-3,285.2,-110.0,Captured Image 1215125800.fits,2626.046653099008,526.0,167.0
