,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,280.0,-115.0,Captured Image 1215182146.fits,3017.9500986756684,530.0,27.0
1,-4,280.0,-110.0,Captured Image 1215181814.fits,4282.101425694436,529.0,40.0
2,-4,280.0,-105.0,Captured Image 1215181740.fits,6521.14255558237,529.0,49.0
3,-4,280.0,-100.0,Captured Image 1215181229.fits,8160.681367651057,528.0,53.0
4,-4,280.0,-95.0,Captured Image 1215181145.fits,8736.345485800532,527.0,54.0
5,-4,280.0,-90.0,Captured Image 1215180638.fits,8163.101073378205,527.0,51.0
6,-4,280.0,-90.0,Captured Image 1215183618.fits,7628.493605075711,527.0,51.0
7,-4,280.0,-85.0,Captured Image 1215183318.fits,5981.590271461038,526.0,44.0
8,-4,280.0,-80.0,Captured Image 1215183222.fits,4427.500395378393,525.0,33.0
9,-4,280.0,-75.0,Captured Image 1215182818.fits,1970.8380996997626,525.0,17.0
10,-4,285.2,-115.0,Captured Image 1215182106.fits,2543.3036646522696,530.0,36.0
11,-4,285.2,-110.0,Captured Image 1215181850.fits,3563.5903858539605,530.0,48.0
12,-4,285.2,-105.0,Captured Image 1215181705.fits,5359.199877031618,529.0,58.0
13,-4,285.2,-100.0,Captured Image 1215181308.fits,6044.573553402689,528.0,62.0
14,-4,285.2,-95.0,Captured Image 1215181035.fits,7256.2423860569215,528.0,63.0
15,-4,285.2,-90.0,Captured Image 1215180738.fits,6373.1566897160465,527.0,61.0
16,-4,285.2,-90.0,Captured Image 1215183545.fits,5984.170510812126,526.0,61.0
17,-4,285.2,-85.0,Captured Image 1215183400.fits,4741.181482707281,526.0,55.0
18,-4,285.2,-80.0,Captured Image 1215183148.fits,3305.6551941158277,525.0,43.0
19,-4,285.2,-75.0,Captured Image 1215182920.fits,1859.8811366501832,525.0,27.0
20,-4,288.6,-115.0,Captured Image 1215182001.fits,9013.11393146439,531.0,42.0
21,-4,288.6,-110.0,Captured Image 1215181927.fits,15006.500865391688,530.0,54.0
22,-4,288.6,-105.0,Captured Image 1215181625.fits,22389.58244610369,529.0,63.0
