,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,285.2,-95.0,Captured Image 1213193938.fits,106.14938242670488,537.0,56.0
1,-4,285.2,-90.0,Captured Image 1213193733.fits,92.81084415236975,537.0,58.0
2,-4,285.2,-90.0,Captured Image 1213195039.fits,96.47859692344579,536.0,54.0
3,-4,285.2,-85.0,Captured Image 1213194246.fits,83.8553608103136,535.0,50.0
4,-4,285.2,-80.0,Captured Image 1213194458.fits,83.88065585521011,534.0,41.0
5,-4,285.2,-75.0,Captured Image 1213194646.fits,69.5217531725457,533.0,25.0
6,-4,285.2,-70.0,Captured Image 1213194852.fits,46.07672270295313,532.0,2.0
7,-4,288.6,-95.0,Captured Image 1213193903.fits,56.22829481986986,537.0,63.0
8,-4,288.6,-90.0,Captured Image 1213193823.fits,51.78166138687941,536.0,64.0
9,-4,288.6,-90.0,Captured Image 1213195123.fits,46.84545955146122,536.0,59.0
10,-4,288.6,-85.0,Captured Image 1213194347.fits,46.943146130748914,535.0,54.0
11,-4,288.6,-80.0,Captured Image 1213194421.fits,46.29417982437229,535.0,49.0
12,-4,288.6,-75.0,Captured Image 1213194737.fits,43.94708636731062,533.0,27.0
13,-4,288.6,-70.0,Captured Image 1213194817.fits,30.26764177400071,532.0,9.0
14,-3,280.0,-95.0,Captured Image 1213194047.fits,52.90036647099483,537.0,167.0
15,-3,280.0,-90.0,Captured Image 1213193653.fits,51.372563141924765,537.0,167.0
16,-3,280.0,-90.0,Captured Image 1213195001.fits,49.42774829796957,536.0,167.0
17,-3,285.2,-90.0,Captured Image 1213195039.fits,21.365407135567764,536.0,178.0
18,-3,288.6,-70.0,Captured Image 1213194817.fits,33.052769567876666,533.0,147.0
19,-2,280.0,-95.0,Captured Image 1213194047.fits,202.14891050676334,537.0,286.0
20,-2,280.0,-90.0,Captured Image 1213193653.fits,182.3828194380131,536.0,285.0
21,-2,280.0,-90.0,Captured Image 1213195001.fits,179.06087112335504,536.0,286.0
22,-2,280.0,-85.0,Captured Image 1213194141.fits,170.2616089457914,536.0,289.0
23,-2,280.0,-80.0,Captured Image 1213194535.fits,174.37392736195252,536.0,285.0
24,-2,280.0,-75.0,Captured Image 1213194610.fits,165.20478163434373,535.0,279.0
25,-2,280.0,-70.0,Captured Image 1213194929.fits,151.97062128594467,535.0,266.0
26,-2,285.2,-95.0,Captured Image 1213193938.fits,129.46646730286943,537.0,291.0
27,-2,285.2,-90.0,Captured Image 1213193733.fits,128.77220333239575,537.0,290.0
28,-2,285.2,-90.0,Captured Image 1213195039.fits,117.15043268695948,537.0,290.0
29,-2,285.2,-85.0,Captured Image 1213194246.fits,150.04878438363127,536.0,288.0
30,-2,285.2,-80.0,Captured Image 1213194458.fits,179.1182812700387,536.0,286.0
31,-2,285.2,-75.0,Captured Image 1213194646.fits,249.43152484848883,535.0,283.0
32,-2,285.2,-70.0,Captured Image 1213194852.fits,293.66679669600956,535.0,273.0
33,-2,288.6,-95.0,Captured Image 1213193903.fits,134.6577415400397,537.0,292.0
34,-2,288.6,-90.0,Captured Image 1213193823.fits,78.13611736191042,537.0,297.0
35,-2,288.6,-90.0,Captured Image 1213195123.fits,65.3993018676635,536.0,296.0
36,-2,288.6,-85.0,Captured Image 1213194347.fits,45.99690857736584,536.0,296.0
37,-2,288.6,-80.0,Captured Image 1213194421.fits,46.911329044159146,536.0,292.0
38,-2,288.6,-75.0,Captured Image 1213194737.fits,58.08396652001011,535.0,287.0
39,-2,288.6,-70.0,Captured Image 1213194817.fits,102.32294940558583,536.0,278.0
40,-1,280.0,-95.0,Captured Image 1213194047.fits,1454.3692269048909,537.0,401.0
41,-1,280.0,-90.0,Captured Image 1213193653.fits,1375.825833733633,536.0,401.0
42,-1,280.0,-90.0,Captured Image 1213195001.fits,1310.607242964827,536.0,401.0
43,-1,280.0,-85.0,Captured Image 1213194141.fits,1331.560904038612,536.0,401.0
44,-1,280.0,-80.0,Captured Image 1213194535.fits,1298.4931012884697,536.0,399.0
45,-1,280.0,-75.0,Captured Image 1213194610.fits,1292.882819258347,536.0,396.0
46,-1,280.0,-70.0,Captured Image 1213194929.fits,1392.885677842719,535.0,393.0
47,-1,285.2,-95.0,Captured Image 1213193938.fits,2003.1099302712666,537.0,408.0
48,-1,285.2,-90.0,Captured Image 1213193733.fits,2532.1561339409827,536.0,408.0
49,-1,285.2,-90.0,Captured Image 1213195039.fits,2072.8811981948725,537.0,408.0
50,-1,285.2,-85.0,Captured Image 1213194246.fits,2722.229107552457,536.0,407.0
51,-1,285.2,-80.0,Captured Image 1213194458.fits,3021.062541346218,536.0,406.0
52,-1,285.2,-75.0,Captured Image 1213194646.fits,3334.520499672039,536.0,403.0
53,-1,285.2,-70.0,Captured Image 1213194852.fits,3684.3946702470694,536.0,400.0
54,-1,288.6,-95.0,Captured Image 1213193903.fits,1835.1955010661063,537.0,409.0
55,-1,288.6,-90.0,Captured Image 1213193823.fits,1646.0037147444943,536.0,409.0
56,-1,288.6,-90.0,Captured Image 1213195123.fits,1557.461239720067,536.0,409.0
57,-1,288.6,-85.0,Captured Image 1213194347.fits,1609.8196244603928,536.0,408.0
58,-1,288.6,-80.0,Captured Image 1213194421.fits,1609.4272581076082,536.0,407.0
59,-1,288.6,-75.0,Captured Image 1213194737.fits,1682.237659782928,536.0,405.0
60,-1,288.6,-70.0,Captured Image 1213194817.fits,1861.8817778753119,536.0,401.0
61,1,280.0,-95.0,Captured Image 1213194047.fits,1413.9846297803156,536.0,631.0
62,1,280.0,-90.0,Captured Image 1213193653.fits,1379.5663278670388,536.0,629.0
63,1,280.0,-90.0,Captured Image 1213195001.fits,1371.5707671048249,536.0,629.0
64,1,280.0,-85.0,Captured Image 1213194141.fits,1366.6265429604746,536.0,629.0
65,1,280.0,-80.0,Captured Image 1213194535.fits,1393.0768372175671,537.0,631.0
66,1,280.0,-75.0,Captured Image 1213194610.fits,1495.9817873954248,537.0,633.0
67,1,280.0,-70.0,Captured Image 1213194929.fits,1571.283289777887,537.0,635.0
