,order_list,energy_list,theta_list,file_list,intensity_list,x_list,y_list
0,-4,285.2,-95.0,Captured Image 1215192525.fits,83.53097953848744,519.0,63.0
1,-4,285.2,-90.0,Captured Image 1215192225.fits,106.13279854146728,518.0,60.0
2,-4,285.2,-90.0,Captured Image 1215193611.fits,90.9515052187163,518.0,60.0
3,-4,285.2,-85.0,Captured Image 1215192740.fits,89.1407861632342,517.0,52.0
4,-4,285.2,-80.0,Captured Image 1215192931.fits,57.77789075488569,516.0,40.0
5,-4,285.2,-75.0,Captured Image 1215193143.fits,35.22326036649495,515.0,23.0
6,-4,285.2,-70.0,Captured Image 1215193357.fits,13.706687264322685,514.0,0.0
7,-4,288.6,-95.0,Captured Image 1215192444.fits,34.30000464095577,518.0,69.0
8,-4,288.6,-90.0,Captured Image 1215192314.fits,46.91782782388315,518.0,65.0
9,-4,288.6,-90.0,Captured Image 1215193649.fits,41.22950427809914,518.0,65.0
10,-4,288.6,-85.0,Captured Image 1215192815.fits,35.93150287966105,517.0,58.0
11,-4,288.6,-80.0,Captured Image 1215192854.fits,30.241464275119014,516.0,46.0
12,-4,288.6,-75.0,Captured Image 1215193230.fits,24.920361095065577,516.0,29.0
13,-4,288.6,-70.0,Captured Image 1215193312.fits,13.60022385738159,514.0,7.0
14,-3,280.0,-95.0,Captured Image 1215192620.fits,37.56422316499355,524.0,175.0
15,-3,280.0,-90.0,Captured Image 1215192137.fits,45.54504737795817,523.0,174.0
16,-3,280.0,-90.0,Captured Image 1215193527.fits,39.56363419701069,523.0,173.0
17,-3,280.0,-85.0,Captured Image 1215192700.fits,39.567745891455765,522.0,168.0
18,-3,280.0,-80.0,Captured Image 1215193009.fits,30.96425359475822,521.0,160.0
19,-3,280.0,-75.0,Captured Image 1215193048.fits,28.666570904817217,520.0,148.0
20,-3,280.0,-70.0,Captured Image 1215193448.fits,28.31122403299444,521.0,132.0
21,-3,285.2,-95.0,Captured Image 1215192525.fits,18.667865788319922,523.0,181.0
22,-3,285.2,-90.0,Captured Image 1215192225.fits,23.356496421511903,523.0,179.0
23,-3,285.2,-90.0,Captured Image 1215193611.fits,50.482568450465024,523.0,180.0
24,-3,285.2,-85.0,Captured Image 1215192740.fits,31.879040089325997,522.0,174.0
25,-3,285.2,-80.0,Captured Image 1215192931.fits,32.209719994264766,521.0,166.0
26,-3,285.2,-75.0,Captured Image 1215193143.fits,26.836995096850604,521.0,155.0
27,-3,285.2,-70.0,Captured Image 1215193357.fits,25.368490187591433,520.0,140.0
28,-3,288.6,-95.0,Captured Image 1215192444.fits,23.725951171685335,522.0,185.0
29,-3,288.6,-90.0,Captured Image 1215192314.fits,29.528239498349638,523.0,184.0
30,-3,288.6,-90.0,Captured Image 1215193649.fits,37.78084898763345,523.0,184.0
31,-3,288.6,-85.0,Captured Image 1215192815.fits,23.34133402115296,522.0,178.0
32,-3,288.6,-80.0,Captured Image 1215192854.fits,28.50809405322836,522.0,171.0
33,-3,288.6,-75.0,Captured Image 1215193230.fits,24.13109959080593,521.0,159.0
34,-3,288.6,-70.0,Captured Image 1215193312.fits,21.698141660661186,520.0,145.0
35,-2,280.0,-95.0,Captured Image 1215192620.fits,202.96152846346072,527.0,292.0
36,-2,280.0,-90.0,Captured Image 1215192137.fits,201.057969366512,527.0,292.0
37,-2,280.0,-90.0,Captured Image 1215193527.fits,208.10987993116203,527.0,291.0
38,-2,280.0,-85.0,Captured Image 1215192700.fits,192.72166116654265,527.0,288.0
39,-2,280.0,-80.0,Captured Image 1215193009.fits,153.22066473267233,526.0,282.0
40,-2,280.0,-75.0,Captured Image 1215193048.fits,131.91479689783216,526.0,276.0
41,-2,280.0,-70.0,Captured Image 1215193448.fits,187.3561229500118,529.0,331.0
42,-2,285.2,-95.0,Captured Image 1215192525.fits,64.36340013456672,528.0,297.0
43,-2,285.2,-90.0,Captured Image 1215192225.fits,115.58308365738708,527.0,320.0
44,-2,285.2,-90.0,Captured Image 1215193611.fits,90.0135333883534,527.0,296.0
45,-2,285.2,-85.0,Captured Image 1215192740.fits,150.61531757477027,527.0,293.0
46,-2,285.2,-80.0,Captured Image 1215192931.fits,153.89846078327471,526.0,288.0
47,-2,285.2,-75.0,Captured Image 1215193143.fits,159.15279195433988,526.0,281.0
48,-2,285.2,-70.0,Captured Image 1215193357.fits,159.69232760496476,525.0,272.0
49,-2,288.6,-95.0,Captured Image 1215192444.fits,72.46587708019143,527.0,297.0
50,-2,288.6,-90.0,Captured Image 1215192314.fits,44.113661561407,527.0,294.0
51,-2,288.6,-90.0,Captured Image 1215193649.fits,41.453844991574414,527.0,294.0
52,-2,288.6,-85.0,Captured Image 1215192815.fits,38.34105149185562,528.0,296.0
53,-2,288.6,-80.0,Captured Image 1215192854.fits,45.693086495308336,527.0,291.0
54,-2,288.6,-75.0,Captured Image 1215193230.fits,62.50397713906617,526.0,284.0
55,-2,288.6,-70.0,Captured Image 1215193312.fits,89.13068821033423,526.0,275.0
56,-1,280.0,-95.0,Captured Image 1215192620.fits,1569.0602619070226,532.0,407.0
57,-1,280.0,-90.0,Captured Image 1215192137.fits,1582.2462258805963,534.0,432.0
58,-1,280.0,-90.0,Captured Image 1215193527.fits,1500.6149361964867,534.0,426.0
59,-1,280.0,-85.0,Captured Image 1215192700.fits,1442.0998243643633,534.0,432.0
60,-1,280.0,-80.0,Captured Image 1215193009.fits,1343.5106168008265,534.0,430.0
61,-1,280.0,-75.0,Captured Image 1215193048.fits,1303.568153575141,534.0,432.0
62,-1,280.0,-70.0,Captured Image 1215193448.fits,1559.1345398219598,534.0,432.0
63,-1,285.2,-95.0,Captured Image 1215192525.fits,1972.7344586948786,532.0,409.0
64,-1,285.2,-90.0,Captured Image 1215192225.fits,2362.0034196876304,532.0,409.0
65,-1,285.2,-90.0,Captured Image 1215193611.fits,1790.9903025539516,532.0,409.0
66,-1,285.2,-85.0,Captured Image 1215192740.fits,2167.9718954835744,531.0,432.0
67,-1,285.2,-80.0,Captured Image 1215192931.fits,1854.4576801127594,531.0,414.0
68,-1,285.2,-75.0,Captured Image 1215193143.fits,1681.7886133178765,534.0,432.0
69,-1,285.2,-70.0,Captured Image 1215193357.fits,1608.9758330777122,534.0,433.0
