,energy_list,real_Ni,imag_Ni,real_NiO,imag_NiO,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,-0.0004609888484785543,0.0003176531555259852,0.0004018776752988041,0.0007483927747229918,2.131421702716427e-05,1.5058018527274357e-05,3.7989871021813256e-06,3.319407103972846e-06,4.422903091657854e-07,8.003104298428576e-07,6.091140673784503e-07,6.175547328106707e-07,3.959621111539756e-07,4.885255597769706e-07,5.978522003486276e-08,2.799151027847304e-07,3.320004817410066e-07,2.1900504798938595e-07,2.787739891097897e-07,2.0064132760109963e-07
1,849.2,-0.0005916973493619715,0.0003355752529417069,0.0005702050394457284,0.0007814279831294929,2.8302389236765162e-05,2.1411564406585408e-05,5.686856678560532e-06,4.5012021688173915e-06,6.187865142005353e-07,1.0209816931539705e-06,7.683028773284331e-07,8.551291327359091e-07,4.020150273791348e-07,6.441545508802403e-07,6.119846766918127e-07,3.196065569958389e-07,3.1629353515977063e-07,2.3661379694830103e-07,2.2826610675089116e-07,2.1593067987645104e-07
2,849.5,-0.0007540622717483037,0.00036789493749274404,0.0008036556832877168,0.0008174048252269933,3.5341094818079934e-05,3.260556667776435e-05,8.30812268787873e-06,6.609884512792134e-06,9.958570841216505e-07,1.4175332423869074e-06,8.964487006888517e-07,1.2706219607926486e-06,7.562473877719664e-07,9.168085934062031e-07,3.658105201264415e-07,3.908047459491656e-07,3.489891997760851e-07,2.6834608086566297e-07,1.690943722471846e-07,2.427660726036116e-07
3,849.8,-0.0009539999408191724,0.0004052830562552338,0.0010934755381742556,0.0008636815928714531,5.5667520605481e-05,5.15687404102373e-05,1.1423232846031558e-05,1.022749642779591e-05,2.0427304004758463e-06,2.1029637566172607e-06,1.5906080618470187e-06,1.963291512180171e-06,1.074401532237358e-06,1.3740227095337335e-06,2.8059413923917016e-07,5.137040567407516e-07,2.9592676107576697e-07,3.233267125750138e-07,2.278056405668355e-07,2.879452235280906e-07
4,850.1,-0.0012313241427984495,0.00047283065398064415,0.0013984335467104108,0.0009633186494514365,8.74812433898646e-05,8.177265274607924e-05,1.8216223077608933e-05,1.6034322425133575e-05,3.1954485119800568e-06,3.208318920239934e-06,2.472631400902408e-06,3.0531452992686684e-06,2.157676539865425e-06,2.0968336255466555e-06,7.302387644430771e-07,7.117570140643302e-07,2.8789496597888954e-07,4.1211181895692894e-07,1.4782817631971134e-07,3.5958510522755676e-07
5,850.2,-0.0013537494341146164,0.0005053579421320646,0.0014911083378016216,0.0010420725101732136,0.00010296622794984322,9.572042220809284e-05,2.0739893916099396e-05,1.8742811807243696e-05,3.554138440656627e-06,3.727010350315703e-06,3.699672221551916e-06,3.547519744241553e-06,2.798813739437445e-06,2.4270658483043396e-06,9.031474288188287e-07,8.04617944528561e-07,5.208185088991416e-07,4.538439799318206e-07,4.6527691229446737e-07,3.92459861757078e-07
6,850.3,-0.001483749336354837,0.0005670741636569168,0.0015737789510794986,0.0011745598730896465,0.00011694050323673318,0.00011225023823355882,2.315090501545623e-05,2.202025153460206e-05,3.85605703902828e-06,4.362400197588331e-06,3.2613228097077677e-06,4.110958798943641e-06,2.215267113056867e-06,2.8094828891859513e-06,1.1600462622210606e-06,9.181851857490382e-07,5.247120077832028e-07,5.051360484101593e-07,4.181511497797541e-07,4.3089784879296567e-07
7,850.4,-0.001616393589810957,0.0006528225489791429,0.001642986758701879,0.0013875528368584348,0.00013312541689116406,0.00013265896349882485,2.7682736041264566e-05,2.618964972626034e-05,4.992939150810962e-06,5.184447068053039e-06,4.976019306310251e-06,4.766658051229765e-06,3.2571171737169647e-06,3.265666467768197e-06,1.058016774981873e-06,1.0647797306860303e-06,5.694417171719284e-07,5.717991589614593e-07,4.285298382740899e-07,4.774210481605225e-07
8,850.5,-0.0017445587108657575,0.0007430326643389191,0.001695436760863933,0.0017026815489443342,0.0001511723721664868,0.00015907818863897092,3.570292896278883e-05,3.176745684330965e-05,4.731056182166536e-06,6.3035776712799945e-06,5.183336404845918e-06,5.559679551804826e-06,4.177064946612652e-06,3.833737132032391e-06,1.2872227346438126e-06,1.2638582727499053e-06,5.653385302365831e-07,6.629874868703019e-07,5.497785005730258e-07,5.363248454696722e-07
9,850.6,-0.0019176890141942137,0.0008487053669460321,0.0017282144048878859,0.0021206308049473628,0.0002100258770927456,0.00019660297229581508,4.9089950280359905e-05,3.977845902928695e-05,8.703367921201488e-06,7.919780523405817e-06,8.40995932478268e-06,6.663932972788016e-06,4.782865354561967e-06,4.631385750974069e-06,1.7130882264536535e-06,1.5510840276531831e-06,1.0759295980524042e-06,7.948956912983261e-07,5.158546601367415e-07,6.194356879397074e-07
10,850.7,-0.002097607977530101,0.0009567125479729172,0.0017390049789901892,0.002605881738609243,0.00025227744697490145,0.00024406342939872628,5.7727340818599815e-05,5.007232366866103e-05,1.1927439369543987e-05,1.0012649703816234e-05,1.0712215708404862e-05,8.019134227531514e-06,5.947805380489101e-06,5.623046208241295e-06,2.2250180691413673e-06,1.922534966378468e-06,1.33161761363222e-06,9.6609583786488e-07,9.233798041359159e-07,7.23522426986599e-07
11,850.8,-0.0022668953661381837,0.0012441281928500289,0.001726297246114448,0.0030833896149558893,0.00025510660083164855,0.0002895936112047943,5.959142754366024e-05,6.036050197508575e-05,1.055126653206946e-05,1.2145148309714409e-05,9.322632942734604e-06,9.20844365984487e-06,6.9171942581413475e-06,6.528778260159346e-06,2.8565819807131587e-06,2.2998495829737614e-06,1.2084921895426289e-06,1.1414911426824649e-06,8.482107477317989e-07,8.206566881111545e-07
12,850.9,-0.002362118454431104,0.001508179659334309,0.0016895520165626152,0.003455979443191935,0.00029465435045759734,0.00032208281938976346,7.046669487662288e-05,6.808277826132096e-05,1.3969151624241667e-05,1.3781602744060755e-05,1.1491950869374736e-05,9.959696397228918e-06,7.752817225463514e-06,7.1346682591629876e-06,2.6769397262113543e-06,2.5883395535349077e-06,1.3784329511142497e-06,1.2769297277356e-06,7.099080860469047e-07,8.875468685559322e-07
13,851.0,-0.0024419447183044725,0.0017654062891956474,0.0016293173873954845,0.0036394739728652418,0.0002910944305076554,0.0003329199861567833,6.970352057383917e-05,7.099295000501594e-05,1.538362741931489e-05,1.4428227761906022e-05,1.1795885215710568e-05,1.0124123987208218e-05,7.846493282697176e-06,7.301066278332758e-06,3.053205128123289e-06,2.7014760234752946e-06,2.0248660038232765e-06,1.331132051189525e-06,1.1448623843761484e-06,9.077207631735605e-07
14,851.1,-0.0024723226448554185,0.0021035171046298734,0.0015472755364311338,0.003598644466051752,0.00023995174069742315,0.00031288490703348335,5.4174685573295345e-05,6.711300321579317e-05,1.3322744815033278e-05,1.3685514986594168e-05,9.689759278252184e-06,9.424741302368841e-06,6.457943884920452e-06,6.8302122636826785e-06,2.247521164531342e-06,2.568358329133668e-06,1.3412879381703204e-06,1.2714443859572141e-06,5.742263583456336e-07,8.606726260866457e-07
15,851.2,-0.0024663129095725453,0.0024508669182190007,0.0014462111141494152,0.0033629092958939824,0.00021423581715338997,0.0002739426770391208,5.099480772003057e-05,5.873966587402614e-05,1.0686334019034383e-05,1.1991060945036004e-05,9.255858435340544e-06,8.28141027623218e-06,6.1075885936961774e-06,6.004426368207678e-06,2.305939037484061e-06,2.2675140571043845e-06,1.2975129835066753e-06,1.1329683861084936e-06,8.476704521003393e-07,7.745752564915887e-07
16,851.3,-0.0024032594836772645,0.0027860433523495486,0.0013298980098189284,0.003011938901370136,0.00022544680940133892,0.0002296475849717748,5.262794038633317e-05,4.888908484778418e-05,1.3253152950545163e-05,9.96527721176892e-06,8.810360835281897e-06,7.066175352466901e-06,5.714081948581507e-06,5.1003764537987634e-06,2.3715256700559764e-06,1.9087932156582843e-06,1.2062884045708806e-06,9.666473439120972e-07,7.446966239162525e-07,6.787508716925163e-07
17,851.4,-0.002241599403524495,0.003178130061908309,0.001202908907559356,0.002640267847735305,0.00015686918250981124,0.0001893010581276996,3.5557691590769765e-05,3.9832930561646315e-05,7.792712802968764e-06,8.094624566097971e-06,5.814359075537102e-06,5.984506989665085e-06,4.563918079814084e-06,4.287114305849971e-06,1.5080919245477126e-06,1.577745357691289e-06,7.760486719978167e-07,8.128857316973359e-07,6.012166911474662e-07,5.92069591494551e-07
18,851.5,-0.00199827870241715,0.003470873764326784,0.0010703597429391285,0.002321817671346851,0.0001418058125503168,0.0001578705201238604,2.942432395640259e-05,3.278997444700139e-05,8.254119604847787e-06,6.640693296762304e-06,5.445271889060265e-06,5.142911994283511e-06,3.639999109481566e-06,3.6537118067312013e-06,1.5597338720305287e-06,1.3203759417517224e-06,8.33784038618665e-07,6.934161870353426e-07,4.6169375590723615e-07,5.245412155081478e-07
19,851.6,-0.0017281359367067744,0.003706972015738234,0.0009376079988390186,0.002091686634188217,0.0001201721038643665,0.0001360017921492924,2.646781699141873e-05,2.7930697908433483e-05,6.80374997453564e-06,5.6413031562532075e-06,4.171293749004108e-06,4.5491967100719145e-06,3.3995451863285633e-06,3.2094538620154538e-06,1.5814838224523056e-06,1.1433324848666147e-06,5.407806908670723e-07,6.113951927716083e-07,4.905792183947551e-07,4.773373959215574e-07
20,851.7,-0.0014616388518023618,0.003914961582398711,0.0008099288754078063,0.001948808940732761,0.00011937050558710041,0.0001221200283938506,2.7189293080147272e-05,2.4882143781484958e-05,6.605994227793234e-06,5.0177252290719175e-06,4.495801043049835e-06,4.163672489284435e-06,2.6391677170264755e-06,2.923821226320016e-06,1.345571576842433e-06,1.032757671682266e-06,6.200442137849477e-07,5.603007307914366e-07,4.919904806243382e-07,4.471545817783061e-07
21,851.8,-0.001128499854468199,0.004140477171001392,0.0006921960525632846,0.0018710231323076404,0.00010685965359348851,0.00011296681409589726,2.4362165397630567e-05,2.2945707238799606e-05,5.999383193346239e-06,4.6289143605879055e-06,4.41329002471555e-06,3.888136403617339e-06,3.0535600652014496e-06,2.726809079986507e-06,9.854676171453126e-07,9.636207889533292e-07,6.82355104723776e-07,5.286048876158489e-07,4.779108170730645e-07,4.267396206027869e-07
22,851.9,-0.0007521091351848906,0.004198122234204717,0.0005885936451789878,0.0018310770316294059,9.813140682991605e-05,0.00010193240089788366,1.952789376540633e-05,2.0875758383794114e-05,5.5837579144861235e-06,4.240588296183522e-06,3.824420564289614e-06,3.476992140619511e-06,2.526513947471326e-06,2.4573429349855616e-06,1.0347161544038496e-06,8.938631336192158e-07,4.821320001763221e-07,4.975576616582947e-07,4.988128058641034e-07,4.002432034162694e-07
23,852.0,-0.00037772184815193917,0.004203733523563108,0.0005023829976180658,0.0018066340563389293,8.546828388822889e-05,9.330881540575596e-05,1.7582836375156492e-05,1.9295174772303787e-05,4.07023376621862e-06,3.948313724067587e-06,3.0563259463737323e-06,3.1457693224255493e-06,2.382527754635225e-06,2.2426694504966722e-06,7.258719111453535e-07,8.412301574086763e-07,5.235474039539818e-07,4.74296467826095e-07,5.829965987396011e-07,3.7929229560040153e-07
