Unnamed: 0,path,width,thickness,N,a,b,divergenz,darkcurrent,E_offset,density,sigma,amplituede_real_NiO_0,amplituede_real_NiO_1,amplituede_real_NiO_2,amplituede_real_NiO_3,amplituede_imag_NiO_0,amplituede_imag_NiO_1,amplituede_imag_NiO_2,amplituede_imag_NiO_3,sigma_real_NiO_0,sigma_real_NiO_1,sigma_real_NiO_2,sigma_real_NiO_3,sigma_imag_NiO_0,sigma_imag_NiO_1,sigma_imag_NiO_2,sigma_imag_NiO_3,energy_real_NiO_0,energy_imag_NiO_0,energy_real_NiO_1,energy_imag_NiO_1,energy_real_NiO_2,energy_imag_NiO_2,energy_real_NiO_3,energy_imag_NiO_3
,/pscratch/sd/k/kandrle/MCMC/AF_202409_OCP_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough-constraint.h5,98.20049248,20.89319234,0.295937066,0.099134266,5.50E-06,0.132345485,2.40E-05,-0.489377599,1.158548829,7.319308649,-0.001474786,0.00245047,0.000471577,0.001053846,0.001865335,0.000371085,0.000510777,0.001040137,0.917851354,0.283851681,0.719251084,3.964770677,0.860608059,0.283505364,3.951136924,6.941121588,851.5641231,851.2145448,850.9789736,853.2531127,851.9646235,851.8101967,858.7455147,855.5200103
,/pscratch/sd/k/kandrle/MCMC/AF_202409_1p2_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough-constraint.h5,87.24645811,14.435539,0.818234954,0.099619274,2.00E-05,0.052401754,2.76E-05,0.745206569,0.71946357,4.254546613,-0.000836592,0.001668086,0.000226411,0.000649634,0.001202971,0.000943883,0.000507062,0.000104179,1.135370437,0.453816475,0.180631702,7.771205085,0.205062224,0.269465242,1.075629511,5.223856817,852.3826481,851.655656,851.1885204,852.0295993,854.0720761,854.1534926,857.3161254,854.917182
,/pscratch/sd/k/kandrle/MCMC/AF_202409_1p6_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough-constraint.h5,104.2658723,11.72031283,1.473039432,0.099818065,1.12E-05,0.008130518,1.99E-05,0.553928747,1.372172909,4.013909983,-0.004054602,0.001269851,0.000558015,0.000652554,0.002694988,0.000676081,0.000530031,0.000485866,0.734645583,0.363902004,0.604592198,6.005147242,0.340424468,0.124240106,1.028612172,6.414237028,851.2594946,851.4878924,851.5789761,852.3583674,851.7886743,852.0513009,860.0469293,856.7279424
,/pscratch/sd/k/kandrle/MCMC/AF_202409_1p6_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough-constraint_Vacuum.h5,87.86900507,8.572993079,0.53654682,0.099878177,4.98E-06,0.023964503,2.47E-05,0.65544012,1.399491268,3.722367554,-0.00307794,0.000478563,0.000263288,0.000667437,0.001527318,0.00029874,0.00053003,0.001183268,1.106967877,0.191588932,0.281340432,3.829597853,0.345071764,0.309341494,1.056575668,8.893544438,850.4815281,850.6699615,850.4013208,852.6062936,851.5115061,853.1682907,858.5076883,856.3572024
,/pscratch/sd/k/kandrle/MCMC/AF_202409_OCP_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough.h5,113.1080848,24.17616973,0.384210608,0.098432043,6.04E-06,0.125459214,2.49E-05,-0.004692899,1.332790322,7.966831245,-0.001937184,0.000660796,0.001466928,0.000673037,0.002505818,0.000165474,0.000917138,0.000379656,1.159623718,0.367649389,1.909930222,6.205549647,0.294512978,0.316831888,1.087181356,7.594089831,852.4049315,851.035912,851.1995713,853.4195684,851.6530965,851.9903471,857.3788408,855.2603934
,/pscratch/sd/k/kandrle/MCMC/AF_202409_1p2_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough.h5,128.584254,19.04083192,0.873032275,0.099864634,2.37E-05,0.00432531,2.20E-05,-0.760577396,1.423327748,5.893590446,-0.002356455,0.001353336,0.000696488,0.001109813,0.001882683,0.000254109,0.001440525,0.000100685,1.751519204,0.722566347,0.392170993,6.732852965,0.364515312,0.029262043,1.334561269,8.391111218,850.9508908,850.9663714,852.1262031,852.3311574,853.2869983,851.7615604,857.680272,855.0062301
,/pscratch/sd/k/kandrle/MCMC/AF_202409_1p6_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough_Vacuum.h5,104.292164,11.62043075,0.966047298,0.09994509,1.25E-05,0.006064454,1.92E-05,0.053594588,0.559144221,3.954291808,-0.002090726,0.001964319,0.000521243,0.001024706,0.003122964,0.000815274,0.000597011,0.001759872,0.603814789,0.454322065,0.195283998,5.670653829,0.487692065,1.322295377,1.824959701,8.20965441,850.0240994,851.0299124,852.0028371,852.5713845,852.7401312,851.7148205,860.2306386,855.4380307
,/pscratch/sd/k/kandrle/MCMC/AF_202409_1p6_Eedge_sigma_scale_div_gauss_SLD_dc/1_gauss_05_rough.h5,102.9895814,23.44555982,0.514184357,0.099914017,5.06E-06,0.001778642,2.46E-05,0.773694231,1.464184077,3.865435765,-0.002200944,-0.000400584,0.000366263,0.001095486,0.002864495,0.00086327,0.000508593,0.001077129,1.239898416,0.555209154,0.379653494,3.128948405,0.452264474,0.734784638,4.46261897,5.738702659,850.2066797,850.6818637,851.2740963,852.7686897,853.0747091,854.4296703,858.1768553,856.6928562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,/pscratch/sd/k/kandrle/MCMC/Nicole/84108.h5,109.4002766,15.92900917,0.007067464,0.099998058,2.93E-07,0.079240192,1.19E-07,-0.857738331,0.516456602,5.517950679,-0.003594385,-0.000124372,0.001227566,0.001394339,0.003686446,0.000240638,0.000616031,0.001168704,0.340784008,0.178047445,1.751754453,7.885627818,0.551084959,0.070522203,1.723796675,8.809657362,850.854457,850.9276919,850.979016,852.7245032,851.8209904,851.6240367,858.1512858,855.6666042
