,energy_list,real_Ni,imag_Ni,real_NiO,imag_NiO,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,-0.00033466498714228434,0.00024159705958672441,2.648817246997569e-05,0.001099602476995733,0.0005582603727746792,0.0005190446419078452,0.00021577820380027447,0.0002526277037172193,5.405812015143363e-05,6.648499239334419e-05,4.641258905484872e-05,4.284948897957456e-05,4.122000516205166e-05,3.296431659680717e-05,2.8484311476968204e-05,2.7474401087120254e-05,2.975988500785358e-05,2.5597176503105235e-05,2.0151545314165836e-05,2.4303219014221192e-05
1,849.2,-0.00043253256490591763,0.0002595518551063274,4.91106570324686e-06,0.001218290967436852,0.0007822532868298427,0.000634157033331616,0.00029497150037274247,0.00030816435281883273,5.7805561302946925e-05,7.658307782321678e-05,6.59138736674772e-05,4.7519145717451936e-05,4.7279896952381135e-05,3.514647373359316e-05,2.832183205723664e-05,2.8299044257775844e-05,3.340439972590403e-05,2.5983821955409936e-05,1.3892004965178158e-05,2.4375637380236904e-05
2,849.5,-0.0005541078318479138,0.0002804206058494325,-4.6803389614223404e-05,0.0014009938439813428,0.001113556434002634,0.0008325637713437799,0.0003971823475517702,0.00040288317826122873,8.221816517313863e-05,9.389884199397208e-05,8.330960723152427e-05,5.544862183840195e-05,4.1637083093734355e-05,3.8866557212013364e-05,2.8132791498044045e-05,2.9713587392079714e-05,2.7448085572616815e-05,2.6643969552495844e-05,2.095919819046269e-05,2.4499800167051545e-05
3,849.8,-0.0007007767777302761,0.0003088875682222493,-0.00014437075262275424,0.0016726239641274964,0.0013923280166307302,0.0011741008038176452,0.0005232377794973314,0.0005639950351455264,9.739630266387586e-05,0.00012352579215833161,8.570688352890636e-05,6.886373363003044e-05,4.554326101002833e-05,4.519083655063466e-05,4.1691333548404416e-05,3.213514983329223e-05,3.865679223155442e-05,2.7768187539256015e-05,1.8371678473032064e-05,2.471228022776464e-05
4,850.1,-0.0008979359532603268,0.00035121496453579344,-0.0002787925608762783,0.0020383287155065783,0.002167098068174158,0.0017287756756368287,0.0007860717856292791,0.000825409104284862,0.00015477908916323015,0.00017161920810945637,0.00014264649830024809,9.062149000702135e-05,6.084251963833435e-05,5.545194982176715e-05,4.388772824724512e-05,3.6066233574919744e-05,3.5610883831867807e-05,2.9592470086890364e-05,1.5275068643696415e-05,2.5057203882247637e-05
5,850.2,-0.0009795493220338953,0.0003743734303216559,-0.0003054828461425817,0.0021765468985835553,0.0021345434817080806,0.0019624174329779926,0.0007610356919683681,0.0009369071263026434,0.00014343437499610688,0.00019200881524315548,0.00012431482447221683,9.995563290015903e-05,6.1018788752523565e-05,5.983103303703849e-05,3.2909730036384175e-05,3.7731790258588414e-05,3.3006536597243834e-05,3.0369608233704342e-05,2.5739845516153018e-05,2.5203385039503888e-05
6,850.3,-0.001075449844141647,0.0003998533281674322,-0.0002896369216600817,0.0023192988974541206,0.0028645361034185138,0.002219194654149218,0.0010939641659765348,0.0010636466047626164,0.00019987735638049865,0.00021482059464073954,0.00015156645513920901,0.00011073002883816267,7.664060816789517e-05,6.481639668461298e-05,3.098042955411738e-05,3.959183147349789e-05,3.42335061209089e-05,3.125015125122061e-05,2.0277507767925446e-05,2.5366739185994624e-05
7,850.4,-0.001178886160751484,0.0004543725794307588,-0.00019448884725689885,0.0024635315181912552,0.0029376482438174213,0.0024834089783110523,0.0011359753630705708,0.0011984950244236304,0.00020420187249930956,0.00023873107899413846,0.0001562310369201527,0.00012236868400930244,7.715909963121379e-05,7.012888584592597e-05,4.223792612508526e-05,4.153741112434238e-05,2.7750664245601926e-05,3.218422657257698e-05,2.3579183880000066e-05,2.5537654212361526e-05
8,850.5,-0.0012818927868689868,0.000522437962550468,1.7568645596061276e-05,0.002605716389420619,0.0031055453752753173,0.0027889807349745217,0.0012221291786505856,0.0013647401878450571,0.00019573977230217418,0.0002674303108772541,0.00014957932543677288,0.0001371272552734681,8.026308821006596e-05,7.669737735667804e-05,3.654199854404104e-05,4.386205069344644e-05,3.2819125734681136e-05,3.332970156475527e-05,2.6991007839530104e-05,2.5741829555513952e-05
9,850.6,-0.0013833148756770084,0.0005934556672641444,0.0003612595538207863,0.00274199071810152,0.003908384329482533,0.0032078921134492777,0.0014397993808904221,0.001602845072977441,0.00026184333466037216,0.0003079192575265117,0.0002028150769908602,0.00015870995003890436,9.435010885294355e-05,8.612572456230243e-05,3.43985456648128e-05,4.712669331320027e-05,3.734869853756242e-05,3.496539624597196e-05,2.5400130603119445e-05,2.602799830742928e-05
10,850.7,-0.0015242524412367548,0.000678061919293742,0.0008000016878519758,0.0028683379030779175,0.004903104282963862,0.003830538063119276,0.0018838424692918022,0.0019600823215702836,0.0003565744710561495,0.0003686765699727766,0.00024312306363806607,0.00019134925594012088,0.00011390936615714079,0.00010028322184920643,4.2389373500285296e-05,5.201182077377258e-05,4.554662698010748e-05,3.741933971934279e-05,3.2749101012213663e-05,2.6455039297169316e-05
11,850.8,-0.0016642481217435993,0.0007785625383142698,0.0012344626155516188,0.002980797127139112,0.005096252954160529,0.004603780487879025,0.001985914840279534,0.002397270778099091,0.00039543446617169343,0.0004436293394774063,0.0002731741958998124,0.00023116053254753897,0.00012379484476532932,0.00011760290066672389,4.5636754418449865e-05,5.8037419540299555e-05,4.218936464961194e-05,4.0426998366646396e-05,3.9995769150311874e-05,2.6981016395003944e-05
12,850.9,-0.001796429405381888,0.0010109315751442838,0.0015287671367035696,0.003075687129100898,0.005884225702792264,0.0052200800787855954,0.0024475360576747414,0.002729340423107669,0.000512532749748639,0.0005015573960632414,0.00029247572127226885,0.00026073865846287347,0.00012797439023167008,0.0001307275206878615,5.875121483357873e-05,6.271607104673513e-05,4.273749899171905e-05,4.271939497482966e-05,2.4600563397778834e-05,2.7390127862607658e-05
13,851.0,-0.0018601236567753906,0.001212942871110031,0.0015709771107692081,0.0031498267138683005,0.005619236932529053,0.005407266034252306,0.0023380697941116297,0.0028119440056110835,0.0004934226419835362,0.0005170560858053206,0.00028766435085398636,0.00026727861829418546,0.0001433862695109274,0.00013395443048815805,6.804521372751782e-05,6.399621300869379e-05,3.960717415978195e-05,4.3298355741613784e-05,3.5174065108304245e-05,2.7503254507350522e-05
14,851.1,-0.0019226546934679434,0.0014144385574880983,0.001332889452475072,0.003200733627539866,0.005471318041809712,0.005110481946048096,0.002433043313986486,0.0026194948311444584,0.0005243401039292501,0.00048550609466899305,0.0002772264253402679,0.0002487267320652206,0.00015031970383390695,0.00012628273383002297,6.065890188944356e-05,6.149497825132487e-05,3.295334103659339e-05,4.1985904963474965e-05,1.7185113815304843e-05,2.7286262914097678e-05
15,851.2,-0.0019392632533606457,0.0016910510695586935,0.0008867419528985489,0.0032267844429112406,0.004743090920351489,0.004466625708930509,0.002123925864447818,0.002212030632167923,0.0004754210390954058,0.0004185949890286175,0.00023391246413122802,0.00021004791923869232,0.0001217672971670351,0.00011006732214673869,4.3410435962457317e-05,5.616002519428227e-05,4.364144219523437e-05,3.920576911580697e-05,3.846035534555402e-05,2.6820977003486327e-05
16,851.3,-0.0019242313490411868,0.00196094053307943,0.0003661557834428518,0.0032273210547478096,0.003684248409649824,0.003826022217452642,0.0016151135642130865,0.0017945668439552523,0.0003688650140519904,0.000351652414397794,0.00017465425337326212,0.00017054548383084076,7.536965458020889e-05,9.345906534088887e-05,5.0471929198865494e-05,5.079568858862078e-05,3.6083751649531814e-05,3.6369145949133635e-05,2.7336235238783656e-05,2.6348937747833367e-05
17,851.4,-0.0018748391327841028,0.0022234973519024703,-9.978866033980745e-05,0.0032026939981944814,0.0037331415723292644,0.0033203571203932595,0.0015881940845225966,0.0014522165955462843,0.000376363108592479,0.00029887700634328453,0.00014700662484973118,0.00013854963441775367,8.658065435562383e-05,7.985651319846718e-05,5.050412267653839e-05,4.6518021921823126e-05,3.5837589508777774e-05,3.405817939864504e-05,1.2912155707006875e-05,2.5965856853377296e-05
18,851.5,-0.0017331315629278785,0.002539333457393208,-0.0004354138302917329,0.0031542385697036894,0.0026440224365271194,0.0028700062400665322,0.0011072854020695874,0.001150993003171898,0.00035519888035581893,0.0002538159133477832,8.909891087314531e-05,0.00011143704818653388,5.414734475638983e-05,6.79350904605281e-05,3.771127506822469e-05,4.279164806566346e-05,3.174005948328484e-05,3.203404114338817e-05,2.3288922810084635e-05,2.5624301207689806e-05
19,851.6,-0.0015321752828577713,0.0027481542916849453,-0.0006274544610324283,0.0030841859783412454,0.002521283127872664,0.0025040826517583833,0.0010699228060892748,0.0009252015522678484,0.00027194507472807486,0.00021986441608587957,9.020067253624852e-05,9.223022718714719e-05,4.850751872973206e-05,5.9050209492959884e-05,3.32997837643772e-05,3.992776354136548e-05,3.5750154712793766e-05,3.051453521464391e-05,2.5414256683710936e-05,2.5357501748240356e-05
20,851.7,-0.0013210535727800734,0.002929308289064508,-0.0007033923231117255,0.0029955177661004245,0.0020900598769675307,0.0021967796400482486,0.0009500664442261145,0.0007580764956075026,0.0002324390034667345,0.00019338405878516494,7.368337644908235e-05,7.878894928460643e-05,4.634963056626289e-05,5.2509892707672495e-05,3.697087399448473e-05,3.76763680832887e-05,3.25028464840191e-05,2.9379230730141533e-05,2.0867981806379376e-05,2.514810946381647e-05
21,851.8,-0.0011122959761443152,0.0030922346568215075,-0.0007029358597212328,0.002891776914952301,0.001734136027496643,0.001977211105744532,0.000778617148650826,0.0006595422867986033,0.0002150654019444211,0.00017554245144588748,5.6997580272162145e-05,7.120686984513633e-05,4.106958827469611e-05,4.867042662198724e-05,2.8621514987656224e-05,3.6181165241976296e-05,3.730486180016442e-05,2.8693177206740484e-05,1.7430137681994838e-05,2.5013503046976015e-05
22,851.9,-0.0008370116459675685,0.0032726567558578022,-0.0006595420452141885,0.002776853291320463,0.0016408788478558538,0.0018801257059259796,0.0007593268260621135,0.0006426213915502618,0.00019871355834736017,0.00016842793996375133,5.641689494142513e-05,7.008158700298281e-05,4.1765836469341916e-05,4.8020829333509166e-05,3.094002797825762e-05,3.564301111261327e-05,3.325969009096029e-05,2.854541127058659e-05,2.260216347411321e-05,2.497417666886869e-05
