,energy_list,real_Ni,imag_Ni,real_NiO,imag_NiO,exp_2.0,fit_2.0,exp_3.0,fit_3.0,exp_4.0,fit_4.0,exp_5.0,fit_5.0,exp_6.0,fit_6.0,exp_7.0,fit_7.0,exp_8.0,fit_8.0,exp_9.0,fit_9.0
0,848.9,-0.000579918395699368,0.00031038184150033733,0.0007635854362462262,0.00028348058615456175,0.0005582603727746792,0.000553462129155361,0.00021577820380027447,0.00021144663870973954,5.405812015143363e-05,6.021520289234956e-05,4.641258905484872e-05,3.956641203605971e-05,4.122000516205166e-05,3.2728763195583285e-05,2.8484311476968204e-05,2.787568642619559e-05,2.975988500785358e-05,2.550156854806276e-05,2.0151545314165836e-05,2.495333595305269e-05
1,849.2,-0.0007376976187540683,0.0003425701958744355,0.0008828369580347666,0.0003101601709253965,0.0007822532868298427,0.000792443681546511,0.00029497150037274247,0.0002954661343340577,5.7805561302946925e-05,7.609701851058234e-05,6.59138736674772e-05,4.616657096794074e-05,4.7279896952381135e-05,3.628396175335942e-05,2.832183205723664e-05,2.923951817756101e-05,3.340439972590403e-05,2.5792737594956466e-05,1.3892004965178158e-05,2.499794062914907e-05
2,849.5,-0.0009358805764779644,0.00037891591084079424,0.0009936287072327588,0.0003512785987395483,0.001113556434002634,0.0011062563911277807,0.0003971823475517702,0.00040503420142725646,8.221816517313863e-05,9.671614494157255e-05,8.330960723152427e-05,5.4718382464240176e-05,4.1637083093734355e-05,4.0941199180563996e-05,2.8132791498044045e-05,3.102521393470472e-05,2.7448085572616815e-05,2.617139749179443e-05,2.095919819046269e-05,2.505573242455343e-05
3,849.8,-0.0012202971641940685,0.00045550058413705607,0.0010805498804063959,0.00041406029267195194,0.0013923280166307302,0.0015342577611263417,0.0005232377794973314,0.0005514714852947112,9.739630266387586e-05,0.00012390736417689736,8.570688352890636e-05,6.593007237730925e-05,4.554326101002833e-05,4.724922566860671e-05,4.1691333548404416e-05,3.344011378104081e-05,3.865679223155442e-05,2.667328608828759e-05,1.8371678473032064e-05,2.5131494386499686e-05
4,850.1,-0.0015724922509718225,0.0006698533541165716,0.001131080371216155,0.0005197290841112425,0.002167098068174158,0.0020727936207901626,0.0007860717856292791,0.0007333981000454758,0.00015477908916323015,0.00015739723782739364,0.00014264649830024809,7.969125452586952e-05,6.084251963833435e-05,5.515293703996387e-05,4.388772824724512e-05,3.646248422957713e-05,3.5610883831867807e-05,2.7293429684694974e-05,1.5275068643696415e-05,2.5224491309383352e-05
5,850.2,-0.0017286630998925145,0.0007651334528521941,0.0011416274527454972,0.0005850497435961327,0.0021345434817080806,0.0023245190995923224,0.0007610356919683681,0.0008189084933530722,0.00014343437499610688,0.00017319795072636598,0.00012431482447221683,8.619545979705153e-05,6.1018788752523565e-05,5.88543321775272e-05,3.2909730036384175e-05,3.787843463769761e-05,3.3006536597243834e-05,2.758558973270105e-05,2.5739845516153018e-05,2.526844826996252e-05
6,850.3,-0.0018907971582640497,0.000862464174797706,0.0011526192629229015,0.0006910096303735195,0.0028645361034185138,0.002621648757609116,0.0010939641659765348,0.000923149546773571,0.00019987735638049865,0.00019287556725080594,0.00015156645513920901,9.436679579943116e-05,7.664060816789517e-05,6.327114717154285e-05,3.098042955411738e-05,3.95726512268517e-05,3.42335061209089e-05,2.7946545406673495e-05,2.0277507767925446e-05,2.5323667782321608e-05
7,850.4,-0.0020433172208470783,0.001122031654714287,0.0011679843272114465,0.0008675007226191206,0.0029376482438174213,0.0029921343726920934,0.0011359753630705708,0.0010602590804898269,0.00020420187249930956,0.00021962512922458073,0.0001562310369201527,0.00010562617813127711,7.715909963121379e-05,6.88821784802118e-05,4.223792612508526e-05,4.17342239531477e-05,2.7750664245601926e-05,2.8431274583545536e-05,2.3579183880000066e-05,2.5399758407595892e-05
8,850.5,-0.0021288622971904654,0.00135986418047029,0.0011921559888782452,0.0011489071723264715,0.0031055453752753173,0.0033801003707268403,0.0012221291786505856,0.00122096511779502,0.00019573977230217418,0.00025294369390913495,0.00014957932543677288,0.00012002778197779012,8.026308821006596e-05,7.501249344368338e-05,3.654199854404104e-05,4.4113766223816196e-05,3.2819125734681136e-05,2.9021602750287726e-05,2.6991007839530104e-05,2.5497180895504325e-05
9,850.6,-0.002200797772398199,0.001591664078866041,0.0012285689313392741,0.0015573350178430558,0.003908384329482533,0.0039258842885051045,0.0014397993808904221,0.0014596242727176057,0.00026184333466037216,0.0003036872298887918,0.0002028150769908602,0.0001423267458345332,9.435010885294355e-05,8.383961789648454e-05,3.43985456648128e-05,4.754080778408908e-05,3.734869853756242e-05,2.9911347783355424e-05,2.5400130603119445e-05,2.5648356354207135e-05
10,850.7,-0.002227997904990594,0.00189663897059217,0.0012775057960065876,0.0020780509700580848,0.004903104282963862,0.004625233464780269,0.0018838424692918022,0.0017807545587102402,0.0003565744710561495,0.0003733928417176631,0.00024312306363806607,0.00017352053970922805,0.00011390936615714079,9.541604523110701e-05,4.2389373500285296e-05,5.202255465100912e-05,4.554662698010748e-05,3.112194272558345e-05,3.2749101012213663e-05,2.586050514902888e-05
11,850.8,-0.002222330933425294,0.002209599790712692,0.0013340161396145367,0.0026412529333633603,0.005096252954160529,0.005446292052000424,0.001985914840279534,0.002166942696056277,0.00039543446617169343,0.00045799081035294834,0.0002731741958998124,0.00021190723947489163,0.00012379484476532932,0.00010919218266410955,4.5636754418449865e-05,5.7329300285783983e-05,4.218936464961194e-05,3.258302874784723e-05,3.9995769150311874e-05,2.6122371605099033e-05
12,850.9,-0.002165510309044727,0.002511644191862299,0.0013870478671149525,0.00312931974399409,0.005884225702792264,0.006149389390176629,0.0024475360576747414,0.002512067632366301,0.000512532749748639,0.0005348134534040937,0.00029247572127226885,0.00024738468865494434,0.00012797439023167008,0.00012125766043412798,5.875121483357873e-05,6.195227913416113e-05,4.273749899171905e-05,3.3898859240154294e-05,2.4600563397778834e-05,2.6365222570946126e-05
13,851.0,-0.0020194633719891665,0.002865185057099238,0.001420817720092382,0.0034173178671687127,0.005619236932529053,0.0063067292456303065,0.0023380697941116297,0.0026317134494301016,0.0004934226419835362,0.0005649760786735646,0.00028766435085398636,0.00026256798091706454,0.0001433862695109274,0.00012469164966172564,6.804521372751782e-05,6.323772988996698e-05,3.960717415978195e-05,3.4388639848496855e-05,3.5174065108304245e-05,2.6470512563396968e-05
14,851.1,-0.0017999427962224058,0.003128492283506062,0.0014186091517879246,0.0034297788071660376,0.005471318041809712,0.00581205154740227,0.002433043313986486,0.002461600339723694,0.0005243401039292501,0.0005331877972154122,0.0002772264253402679,0.0002499054810952101,0.00015031970383390695,0.00011744499443043965,6.065890188944356e-05,6.042085223298676e-05,3.295334103659339e-05,3.379915679579909e-05,1.7185113815304843e-05,2.6385902603768513e-05
15,851.2,-0.0015565154838717737,0.0033411600593520104,0.0013679163232641618,0.0031788298379692025,0.004743090920351489,0.004893215582383745,0.002123925864447818,0.002084910696059139,0.0004754210390954058,0.00045559074318936884,0.00023391246413122802,0.0002159431057720194,0.0001217672971670351,0.00010292440903523775,4.3410435962457317e-05,5.483286670895601e-05,4.364144219523437e-05,3.242551453463148e-05,3.846035534555402e-05,2.6155163700507837e-05
16,851.3,-0.0013163615105568534,0.003528589955102732,0.0012648838647036746,0.0027573639177473474,0.003684248409649824,0.0039606021652081,0.0016151135642130865,0.001674365324071992,0.0003688650140519904,0.00036821947929085004,0.00017465425337326212,0.00017658101994139625,7.536965458020889e-05,8.768828759192245e-05,5.0471929198865494e-05,4.899760770204261e-05,3.6083751649531814e-05,3.090226495162955e-05,2.7336235238783656e-05,2.588642918586011e-05
17,851.4,-0.0010158045070310917,0.003731905121763019,0.001116034709610106,0.0022921039898854407,0.0037331415723292644,0.003238566107961498,0.0015881940845225966,0.0013387303081235189,0.000376363108592479,0.0002951286781372256,0.00014700662484973118,0.00014310196824563728,8.658065435562383e-05,7.55890108039114e-05,5.050412267653839e-05,4.4373114988753576e-05,3.5837589508777774e-05,2.9640627037231234e-05,1.2912155707006875e-05,2.5657308753866524e-05
18,851.5,-0.0006766466093878406,0.0037831565643509533,0.0009364574110700438,0.0018883186856810757,0.0026440224365271194,0.0026890407563295022,0.0011072854020695874,0.0010816860555691089,0.00035519888035581893,0.00023898620882903033,8.909891087314531e-05,0.00011746436133025551,5.414734475638983e-05,6.636825526200772e-05,3.771127506822469e-05,4.08386517314845e-05,3.174005948328484e-05,2.8671634681727256e-05,2.3288922810084635e-05,2.5482051529964785e-05
19,851.6,-0.00033926732971652224,0.0037882131803935667,0.0007452962633431295,0.0015981752350320616,0.002521283127872664,0.0023356734285470537,0.0010699228060892748,0.0009150162636989288,0.00027194507472807486,0.00020243970266355349,9.020067253624852e-05,0.0001008458669460938,4.850751872973206e-05,6.042879345276405e-05,3.32997837643772e-05,3.85528719132935e-05,3.5750154712793766e-05,2.804091348293262e-05,2.5414256683710936e-05,2.5368625996495558e-05
20,851.7,-2.952212821035846e-05,0.0037428196277078892,0.0005605586969921186,0.001422337259937755,0.0020900598769675307,0.002100486088558561,0.0009500664442261145,0.0008086511693049222,0.0002324390034667345,0.00017950841631646846,7.368337644908235e-05,9.057883179423001e-05,4.634963056626289e-05,5.655657514452424e-05,3.697087399448473e-05,3.705788841798876e-05,3.25028464840191e-05,2.7641974464266144e-05,2.0867981806379376e-05,2.5298743137752748e-05
21,851.8,0.0002485889365783836,0.0036396731973821666,0.00039528675077705534,0.001331971282202671,0.001734136027496643,0.00191853518761186,0.000778617148650826,0.0007349541298988302,0.0002150654019444211,0.0001644127057470739,5.6997580272162145e-05,8.402388444409407e-05,4.106958827469611e-05,5.369897605513934e-05,2.8621514987656224e-05,3.595583238326707e-05,3.730486180016442e-05,2.7373876659989116e-05,1.7430137681994838e-05,2.5254283914585332e-05
22,851.9,0.00045490904531203107,0.003495617884850644,0.00025616426842007005,0.0012920898038525747,0.0016408788478558538,0.0017739001631406856,0.0007593268260621135,0.0006824419666919792,0.00019871355834736017,0.00015428520429009045,5.641689494142513e-05,7.977831183193321e-05,4.1765836469341916e-05,5.152292758351509e-05,3.094002797825762e-05,3.511905503842297e-05,3.325969009096029e-05,2.7189598552444896e-05,2.260216347411321e-05,2.5225587757377873e-05
23,852.0,0.0006255261434548962,0.0033403115708875897,0.00014436284441219412,0.001275143758323048,0.0017217231562626613,0.001667274971930319,0.0007137026758364394,0.0006464740241334751,0.00019587709315376967,0.00014766514928060085,6.091680297427063e-05,7.708644000457458e-05,4.806202552089031e-05,4.9962138504015644e-05,3.5176972904008404e-05,3.4519847656637155e-05,3.05913436365435e-05,2.7066762183643193e-05,2.7011631091873285e-05,2.5207452360995506e-05
24,852.1,0.0007414560934758364,0.0031822203673970073,5.7597000055448645e-05,0.001264343166447243,0.0017424000096192326,0.0015794148564117739,0.0007169528850025766,0.0006178013387003286,0.0001914073522082465,0.000142506928471431,6.813788882833495e-05,7.502599470115545e-05,4.23829081177386e-05,4.8691782060636735e-05,2.6506129500443863e-05,3.403214022811245e-05,3.4993438348646506e-05,2.6970076937987673e-05,2.4036842296454777e-05,2.519360337509666e-05
25,852.2,0.0008183006408459129,0.0030542543795586776,-7.748658307189869e-06,0.0012514037137833721,0.0016261475736219595,0.0015252537852847527,0.0006998100270893427,0.0006000071569695526,0.0001748464765027163,0.0001392900151905442,6.872782638543673e-05,7.373894434964547e-05,4.339174612529636e-05,4.790707235286205e-05,3.3850702790192276e-05,3.373063071737542e-05,3.1989649290735565e-05,2.690988557796625e-05,1.2064869559909799e-05,2.5184954159218072e-05
